vehicle_id,fuel_type,fuel_consumed,distance_travelled,mileage,average_mileage,deviation,current_mileage,threshold,mileage_drop,fuel_spam_detection_label
VH109722,Diesel,29.66,488.0,16.45,14.75,-3.31,11.44,11.8,Yes,1
VH100269,CNG,25.78,98.32,3.81,2.48,-3.33,-0.85,1.98,Yes,1
VH109762,Diesel,3.36,294.89,87.76,89.04,-4.5,84.54,71.23,No,0
VH100810,CNG,14.99,131.19,8.75,10.51,-1.14,9.37,8.41,No,0
VH104618,CNG,58.34,801.05,13.73,13.34,-9.27,4.07,10.67,Yes,1
VH105587,Petrol,71.86,386.98,5.39,7.69,-2.6,5.09,6.15,Yes,1
VH109004,Petrol,63.65,980.72,15.41,15.54,-3.38,12.16,12.43,Yes,1
VH100387,CNG,77.42,266.71,3.44,3.12,-1.47,1.65,2.5,Yes,1
VH102398,CNG,55.51,177.85,3.2,2.63,-1.65,0.98,2.1,Yes,1
VH107391,Petrol,75.38,514.78,6.83,9.82,-6.55,3.27,7.86,Yes,1
VH109788,Diesel,8.81,380.05,43.14,39.24,6.45,45.69,31.39,No,0
VH106585,CNG,53.77,37.2,0.69,0.42,-5.25,-4.83,0.34,Yes,1
VH108223,Petrol,71.98,235.96,3.28,2.96,-4.27,-1.31,2.37,Yes,1
VH101076,Diesel,27.21,279.61,10.28,8.77,0.94,9.71,7.02,No,0
VH106482,Diesel,45.5,105.6,2.32,3.95,-0.82,3.13,3.16,Yes,1
VH101903,Petrol,52.18,368.71,7.07,9.93,-4.97,4.96,7.94,Yes,1
VH109969,Diesel,49.02,317.98,6.49,7.32,0.81,8.13,5.86,No,0
VH102240,Petrol,65.92,97.37,1.48,3.69,-2.52,1.17,2.95,Yes,1
VH102039,CNG,53.76,596.01,11.09,14.52,-3.18,11.34,11.62,Yes,1
VH102582,Diesel,2.1,123.5,58.81,58.51,3.3,61.81,46.81,No,0
VH105266,CNG,38.74,604.85,15.61,13.25,3.53,16.78,10.6,No,0
VH103009,Petrol,5.1,195.38,38.31,38.65,-3.0,35.65,30.92,No,0
VH106610,Diesel,72.48,706.18,9.74,14.15,-6.1,8.05,11.32,Yes,1
VH100153,CNG,61.31,226.75,3.7,2.52,-0.91,1.61,2.02,Yes,1
VH106448,CNG,3.38,872.43,258.12,255.45,7.23,262.68,204.36,No,0
VH104521,CNG,49.61,691.63,13.94,10.42,-3.77,6.65,8.34,Yes,1
VH103256,Diesel,21.64,161.84,7.48,4.33,3.62,7.95,3.46,No,0
VH101368,Petrol,41.29,443.35,10.74,14.39,-7.28,7.11,11.51,Yes,1
VH101257,CNG,53.75,105.7,1.97,4.75,3.74,8.49,3.8,No,0
